sentence,entity,compare,num 
212#(3)项目研发说明(包括产品类型、产品概述、产品技术先进性、产品经济效益)等,项目、(产品)类型、产品、(产品)技术、先进性、(产品)经济效益,,3
212#(4)芯片版图缩略图(需用彩印)、产品外观照片,(芯片)版图、缩略图、(需用)彩印、(产品)外观、照片,,4
212#(5)晶圆厂流片项目订单或合同、发票、付款凭证(境外加工的需提供报关单或委外加工证明)、EDA正版软件使用证明,(晶圆厂)流片、订单、合同、发票、(付款)凭证、境外、报关单、(EDA)正版软件、证明,,5
212#流片项目应包含光罩(层)、晶圆(张),(流片)项目、光罩、晶圆、张,,
212#单据金额和申报金额如果有不一致需做说明,(单据)金额、(申报)金额,,
212#(6)MPW项目需要提供以下说明之一：晶圆厂主导的MPW项目,(MPW)项目、需要、以下、(之一：晶圆厂主导的MPW)项目、(晶圆厂)主导、(MPW)项目,,6
212#应在合同上体现,(合同)上,,
212#企业自主MPW项目,(企业自主MPW)项目,,
212#需提供图示说明此套光罩所包含的项目,光罩、(包含的)项目,,
212#企业采用多合一复合板,企业、复合板,,
212#需提供多合一板图示说明,,,
212#备注：用于研发的多项目晶圆(MPW)/工程片试流片补助项目为2019年7月1日至2019年12月31日(具体时间以流片的发票日期为准)期间发生的,备注、(研发的多项目)晶圆、(多)项目、晶圆、MPW、(工程片试流片补助)项目、(补助)项目、2019年7月1日、2019年12月31日、(具体)时间、(流片的发票)日期、(发票)日期、期间,,多项目
212#通过第三方流片的,流片,,第三方
212#需提供晶圆厂与第三方的代理关系证明材料,(晶圆厂与第三方的代理)关系、(代理)关系、材料,,第三方
212#封装测试补助,(测试)补助,,
212#补助标准,(补助)标准,,
212#对集成电路企业利用符合条件的封装测试生产线的,(集成电路)企业、符合条件、(测试)生产线,,
212#按首次量产封装测试费用的50%给予补助,(首次量产封装测试)费用,,50%
212#每个企业年度补助总额不超过100万元,(每个)企业、总额,,100万元
212#对集成电路企业进行芯片失效分析测试(含拍照、提图)、晶圆测试(含探针卡)等费用,(集成电路)企业、芯片、分析测试、(拍照、提图)、晶圆测试(含探针卡)等)费用,,
212#按实际支付总额的50%给予补助,总额,,50%
212#每个企业每年补助总额不超过100万元,(每个)企业、总额,,100万元
212#申报条件及材料,(申报)条件、材料,,
212#(1)封装测试补助项目资金汇总表(附件5),(补助)项目、汇总表、附件,,1、5
212#(2)项目说明(包括产品概述、封装类型、测试工具及方式)等,项目、产品、(封装)类型、测试工具、方式,,2
212#项目相关文档、图片,(项目相关)文档、图片,,
212#(3)项目订单或合同、发票、付款凭证、结算明细表等,(3)项目)订单、(项目)订单、合同、发票、(付款)凭证、明细表,,3)项目订单
212#备注：符合条件的集成电路企业是指列入集成电路产业政策企业名单的企业,备注、(符合条件的集成电路)企业、(集成电路)企业、(集成电路)产业政策、企业,,
212#IP购买补助,补助,,
212#补助标准,(补助)标准,,
212#给予符合条件的企业IP购买直接费用40%的补助,(给予符合条件的)企业、直接费用,,40%的补助
212#单个企业(单位)每年补助总额不超过200万元,(单个)企业、单位、总额,,200万元
212#申报条件,(申报)条件,,
212#(1)提供方应为专业IP供应商或晶圆代工厂,专业、供应商、(晶圆)代工厂,,1
212#成立三年以上,以上,,三年
212#(2)申报单位应在2016年6月27日-2019年12月31日期间与非关联单位签订转让或授权合同,(申报)单位、2016年6月27日、(2019年12月31日)期间、(关联)单位、合同,,2
212#完成合同付款,合同,,
212#完成MPW或工程批试流片或工程流片,工程、(流片或工程)流片,,
212#申报材料,申报材料,,
212#(1)厦门集成电路企业IP购买补助申请表(附件6),(厦门集成电路)企业、(补助)申请表、附件,,1、6
212#(2)IP购买补助资金汇总表(附件7),(补助)资金、汇总表、附件,,2、7
212#(3)IP核使用情况说明、IP使用原理图以模块图、产品版图(附IP位置标注),(IP核使用)情况、(使用)情况、原理、(模块)图、(产品)版图、(IP)位置,,3
212#企业购买的IP核实施转化运作的佐证材料(完成MPW或工程试流片,企业、(IP)核、(转化运作的佐证)材料、(佐证)材料、工程、流片,,
212#包括不限于：流片、验证报告等),流片、(验证)报告,,
212#(4)IP转让或许可合同、发票及银行支付凭证等,(许可)合同、发票、银行、凭证,,4
212#(5)合同双方的非关联声明或相关证明(提供方与购买方应为非关联关系),(合同)双方、(非关联)声明、(相关)证明、(方与购买方应为非关联)关系、(应为非关联)关系,,5
212#备注：IP购买包括授权、转让等形式,备注、(授权、转让等)形式,,
212#本条款IP特指因芯片研发需要而进行的IP核复用,(本)条款、特指、芯片、核,,
212#包括软核IP、固核IP、硬核IP等,硬核,,
212#不包含专利、软件著作权等,专利、(软件)著作权,,
212#外文材料需提供翻译件,(外文)材料,,
212#购买设计工具补助,(设计)工具,,
212#补助标准,(补助)标准,,
212#对集成电路设计企业购买EDA设计工具软件的,(集成电路设计)企业、(EDA)设计、工具软件,,
212#按照实际发生费用的20%给予资助,费用,,20%
212#每个企业年度总额不超过300万元,(每个)企业、总额,,300万元
212#申报材料,申报材料,,
212#(1)购买设计工具必要性说明(包括工具用途及作用概述、供应商行业地位概述、采购工具必要性概述),(购买设计工具)必要性、(工具)用途、作用、(供应商)行业、地位、(采购)工具、必要性,,1
212#(2)购买合同、发票及银行支付凭证等,合同、发票、银行、凭证,,2
212#备注：外文材料需提供翻译件,备注、(外文)材料,,
212#第三方IC设计平台使用补助,平台、补助,,第三方
212#补助标准,(补助)标准,,
212#使用经IC领导小组认定的第三方IC设计平台提供的IP复用、共享设计工具软件或测试与分析等服务的集成电路企业(单位),小组、平台、(共享设计工具软件或测试与分析等服务的集成电路)企业、(服务的集成电路)企业、(集成电路)企业、单位,,第三方
212#每年度按其所支付给第三方平台服务费(实际费用)的50%给予补助,(每)年度、服务费、(实际)费用,,第三方、50%
212#每家企业(单位)每年补助最高不超过100万元,(每家)企业、单位,,100万元
212#申报材料：,申报材料,,
212#(1)第三方IC设计平台使用补助资金明细表(附件8),平台、(补助资金)明细表、附件,,1、第三方、8
212#(2)与第三方IC设计平台签订的服务合同、发票及相应支付凭证、结算明细表等,(2)与第三方IC设计平台签订的服务)合同、(签订的服务)合同、(服务)合同、发票、凭证、明细表,,2)与第三方IC设计平台签订的服务合同、
212#备注：经认定的第三方IC设计平台有厦门科技产业化集团有限公司、厦门海沧信息产业发展有限公司的IC设计平台,备注、(认定的第三方IC设计)平台、(厦门科技产业化集团有限公司、厦门海沧信息产业发展有限公司的IC设计)平台、(IC设计)平台,,第三方
212#采购芯片模组补助,(芯片)模组、补助,,
212#补助标准,(补助)标准,,
"212#年度销售额1亿元以上的系统(整机)、终端企业采购符合条件的集成电路企业芯片或模组的,对同一集成电路企业供应商的首批订单",(年度)销售额、系统、整机、(终端)企业、(采购符合条件的集成电路企业)芯片、(集成电路)企业、芯片、模组、(电路)企业、供应商、订单,,1亿元
"212#按采购额的40%给予系统(整机)、终端企业补助,单个企业年度补助总额不超过350万元",采购额、系统、整机、(终端)企业、(单个)企业、总额,,40%、350万元
212#向关联企业的采购不计入资助核算采购费用总额,(关联)企业、(核算采购)费用、总额,,
212#申报材料,申报材料,,
212#(1)专项审计报告(内容须包含但不限于2019年销售收入情况,(专项审计)报告、内容、(2019年销售收入)情况,,1
212#采购项目情况,(采购)项目、情况,,
212#系统终端首批销售情况等),(系统)终端、情况,,
212#2019年度由市税务部门认可的,(2019)年度、(市税务)部门,,2019年度
212#能够体现年度收入的佐证材料(如企业所得税汇算清缴签证报告等),(年度)收入、(佐证)材料、企业所得税、签证,,
212#(2)芯片或模组应用在系统(整机)、终端上的相关佐证材料,芯片、模组、系统、整机、(终端)上、(相关)佐证、材料,,2
212#(3)采购合同、发票及银行支付凭证等,合同、发票、银行、凭证,,3
212#(4)采购本地生产芯片模组补助项目汇总表(附件9),(采购本地生产芯片模组补助项目)汇总表、附件,,4、9
212#(5)双方签章的非关联声明或相关证明(提供方与采购方应为非关联关系),(双方)签章、(非关联)声明、(相关)证明、(方与采购方应为非关联)关系、(应为非关联)关系,,5
212#备注：符合条件的集成电路企业是指列入集成电路产业政策企业名单的企业,备注、(符合条件的集成电路)企业、(集成电路)企业、(集成电路)产业政策、企业,,
212#附件下载：资金项目申报相关表格,附件、(资金)项目、(相关)表格,,
214#支持范围,范围,,
214#支持周期：2018年1月至2019年12月期间立项并实施的人工智能项目(支持人工智能技术攻关、支持人工智能基础支撑平台建设两个方向仅支持2019年项目投入),周期、2018年1月、(至2019年12月)期间、(立项并实施的人工智能)项目、(人工智能)项目、(人工)智能、技术、(人工智能)基础、(平台建设两个)方向、(2019年)项目,,
214#支持方向：参见《厦门市人民政府办公厅关于印发推动新一代人工智能产业发展若干措施的通知》(厦府办〔2018〕233号),方向、(参见《厦门市人民政府办公厅关于印发推动新一代人工智能产业发展若干措施的)通知、(厦门市人民政府)办公厅、产业、(若干)措施、通知,,若干措施、2018、233号
214#申报条件,(申报)条件,,
214#申报单位必须在本市注册满1年以上,(申报)单位、(满)1年、以上,,
214#无违法违规行为,,,
214#财务管理制度健全,(财务管理)制度,,
214#除申报支持设立人工智能支撑服务机构、支持举办国家级人工智能博览会两个项目之外,(设立人工智能支撑服务机构、支持举办国家级人工智能博览会两个项目)之外、(服务)机构、(国家级人工智能)博览会、项目、之外,,两个
214#申报其它支持方向的企业应已取得人工智能领域相关知识产权,(申报其它支持方向的)企业、(人工)智能、产权,,
214#本年度内已获得2项市相关部门的财政专项资金项目(奖励除外)的单位不予支持,(本)年度、内、(财政)专项资金、项目、(奖励除外)的)单位,,2项
214#同一项目已通过其他渠道获取市级财政性资金支持的,(同一)项目、(其他)渠道、(市级)财政性、资金,,
214#不再支持,,,
214#不得通过更名、包装、拆分、全部或部分合并到其他项目重复申报,包装、(其他)项目,,全部、部分
214#申报企业的同一项目或有关研发投入已获得市科技局研发补助的可继续申报人工智能项目,(申报)企业、(同一)项目、市科技局、(人工智能)项目,,
214#但应在项目申报书及专项审计报告中对研发工作及投入归集做出清晰说明：本项目子项目之一已获得市科技局研发补助,(项目)申报书、(专项审计)报告、中、(本)项目、项目、市科技局、补助,,
214#本项目研发人员共××人,(本)项目、人员、人,,
214#其中××人已在××项目中获得市科技局研发补助,人、(×)项目、中、市科技局、补助,,
214#资助金额××元,金额,,
214#本项目与我司已获得的市科技局研发补助项目无关联,(本)项目、(获得的市科技局研发补助)项目、(市科技局研发补助)项目,,
214#所列研发投入未获得市科技局研发补助项目支持等明确字句,(市科技局研发补助)项目、字句,,
214#如有必要,,,
214#应以表格形式呈现,(应以)表格、形式,,
214#同一单位原则上在本项目中只能申报一个资助类项目,(同一)单位、原则上、(本)项目、中、(类)项目,,一个资助
215#申报条件,(申报)条件,,
215#符合条件的企业,(符合条件的)企业,,
215#符合国家、省、市产业政策和导向并具有较好的发展前景,符合国家、省、(市)产业政策、导向,,
215#重点认定软件信息、节能环保、生物医药、新材料、新能源、机械、轻工、电子、智能装备等战略性新兴产业和先进制造业企业,(软件)信息、生物医药、(新)材料、新能源、机械、轻工、电子、(智能)装备、(战略性)新兴产业、(先进)制造业、企业,,
215#在我市注册并经营两年以上(即2018年1月1日前注册并实际经营),(两年)以上、(2018年1月1日)前,,
215#具有独立法人资格,(独立)法人资格,,
215#符合工信部等部门制定的《中小企业划型标准规定》(详见附件2)的中型、小型、微型工业、软件和信息技术服务业企业,(工信部等)部门、附件、(中型、小型、微型工业、软件和信息技术服务业)企业、(微型)工业、软件、(信息)技术、服务业、企业,,
215#未列入市财政资金使用管理失信惩戒范围,(市)财政资金、(失信惩戒)范围,,
215#注：工业、软件和信息技术服务业企业的划型标准有所不同,(工业、软件和信息技术服务业)企业、(信息)技术、服务业、(企业的划型)标准、(划型)标准,,
215#根据法人营业执照副本上的经营范围判断,(法人)营业执照、(经营范围)判断,,
215#属于工业制造业企业申报的,(工业)制造业、企业,,
215#需以实体产品作为申报标的物,(实体)产品、标的物,,
215#以虚拟系统或软件作为申报标的物的,(虚拟)系统、软件、标的物,,
215#一律参照软件和信息技术服务业中小微企业的划型标准,(软件和信息技术服务业)中、(信息)技术、服务业、(中小微)企业、(划型)标准,,
215#拥有“专精特新”产品(技术),(新”)产品、技术,,
215#能够积极配合市工信局开展相关工作,(市)工、信局,,
215#符合条件的项目,(符合条件的)项目,,
215#申报项目需符合“专精特新”定义的内容至少其中一项(见第五大点),(申报)项目、内容,,
215#申报产品(技术)已投入批量生产一年以上(即2019年1月1日前已投入批量生产),(申报)产品、技术、(批量生产一年)以上、(2019年1月1日)前、批量生产,,
215#同时应为2017年1月1日后开发的新产品(技术),(2017年1月1日)后、(开发的新)产品、(新)产品、技术,,
215#要求企业对申报的产品(技术)拥有自主知识产权,(企业对申报的)产品、技术、(自主)知识产权,,
215#无知识产权纠纷,(无知识产权)纠纷,,
215#质量优良,质量,,
215#无重大质量问题及用户投诉,(重大质量)问题、用户,,
215#注：要求申报的产品(技术)核心的发明专利、实用新型、外观设计专利、集成电路布图、计算机软件著作权登记证书等,(要求申报的)产品、技术、(核心的)发明专利、实用新型、(外观设计)专利、集成电路、(计算机)软件、著作权、(登记)证书,,
215#为2017年1月1日后取得,(2017年1月1日)后,,
215#生物医药类企业时间限制可适当放宽,(生物医药)类、时间,,
215#其中,,,
215#发明专利可以为已受理(受理时间为2017年1月1日以后),发明专利、(受理)时间、2017年1月1日、以后,,
215#其他专利类别均需为已取得相关证书,(其他专利)类别、(相关)证书,,
215#申报的项目在市场、质量、效益或发展等方面处于细分行业领先水平,(申报的)项目、(市场、质量、效益或发展等)方面、(细分)行业、领先水平,,
215#具备先进性和示范性,先进性、示范性,,
215#以下情况不在认定范围内,(以下)情况、(范围)内,,
215#已上市企业,企业,,
215#尚处于认定有效期内的“专精特新”企业,(有效期)内、(新”)企业,,
215#注：2017年及以前年度获得认定的“专精特新”企业可以再次申请(需以新项目申报),(2017年及以前年度获得认定的“专精特新”)企业、(获得认定的“专精特新”)企业、(新”)企业、(新)项目,,
215#单纯以手机APP进行申报的,手机,,
215#以内容为动漫、游戏及其周边产品进行申报的,内容、游戏、周边产品,,
215#已申报并通过市级财政专项资金扶持的项目,(市级)财政、专项资金、(扶持的)项目,,
215#不得通过更名、拆分、全部或部分合并到其他项目在一个部门或者到不同部门重复申报,(其他)项目、(一个)部门、(不同)部门,,全部、部分、一个部门
215#其他：,,,
215#(1)常规农副产品、饮料、烟、酒类,常规、饮料、烟、酒类,,1
215#(2)化妆品、服装、家具等日用类产品,(2)化妆品、服装、家具等日用)类产品、(化妆品、服装、家具等日用)类产品、(日用)类产品,,2)化妆品、服装、家具等日用类产品
215#(3)普通手工艺品,(3)普通)手工艺品、(普通)手工艺品,,3)普通手工艺品
215#(4)单纯改变花色、外观与包装类产品,花色、外观、(包装类)产品,,4
215#(5)动、植物品种资源类产品,(植物)品种、类产品,,5
215#(6)高能耗、环境污染类产品,高能耗、(环境污染)类产品,,6
215#申报过程中,(申报)过程、中,,
215#如发现企业存在资料造假情况,企业、资料、(造假)情况,,
215#即刻取消参评资格,(参评)资格,,
215#由中介机构代替企业申报的项目,中介机构、(代替企业申报的)项目,,
215#一经发现,,,
215#予以取消参评资格,(参评)资格,,
217#扶持范围,范围,,
217#项目补助,(项目)补助,,
217#支持文化企业参加国内文化类大型展会,(文化)企业、(国内文化类大型)展会,,
217#支持文化企业对外兼并重组做大做强,(文化)企业,,
217#支持闽台特色文化产业交流交易活动,(闽台)特色、文化产业,,
217#支持对外文化贸易项目,(对外文化贸易)项目,,
217#支持文化企业投建文化产业集中展示和交流交易平台,(文化)企业、文化产业、交易平台,,
217#支持为文化产业发展提供信息服务、产业化服务等公共服务平台的建设和推广应用项目,文化产业、信息、(公共服务)平台、(推广应用)项目,,
217#支持具有示范带动作用的各类文化创意产业园区的公共服务平台项目,(具有示范带动作用的各类文化创意产业园区的公共服务平台)项目、(各类)文化、园区、(公共服务)平台、项目,,
217#以奖代补,奖,,
217#鼓励文化企业参与国际、国家、省举办的文化奖项活动评选,(文化)企业、国际、国家、省、(文化)奖项,,
217#奖励国际、国家、省授予文化方面荣誉称号的文化企业,国际、国家、省、文化、(方面)荣誉称号、(文化)企业,,
217#重点培育创新能力强的文化和科技融合发展企业,创新能力、(强的)文化、科技、企业,,
217#奖励通过市级首次备案和国家级认定的高新技术企业,首次、(备案和国家级认定的高新技术)企业、(高新技术)企业,,
217#以及获国家、省级立项资助的文化科技融合项目企业,国家、(立项资助的文化科技融合项目)企业、(文化)科技、(融合)项目、企业,,
217#鼓励制造业、建筑业等行业的领军企业将创意设计环节分离,(制造业、建筑业等)行业、(行业的领军)企业、(领军)企业、(创意设计)环节,,
217#设立独立的创意设计企业,(独立的创意设计)企业、(创意设计)企业,,
217#推动文化创意和设计服务专业化、集约化、品牌化发展,(文化)创意,,
217#贷款贴息,(贷款)贴息,,
217#对文化企业从金融机构融资实施文化产业项目进行贴息,(文化)企业、金融机构、(文化产业)项目、贴息,,
217#并遵循扶强扶大、兼顾小微的原则,原则,,
217#突出向骨干文化企业、重点文化企业、重点文化产业园区、重点文化产业基地倾斜,(骨干文化)企业、(重点文化)企业、(重点)文化产业、园区、(重点)文化产业、基地,,
217#实行差异化补助,(差异化)补助,,
217#申报资格条件,(申报)资格、条件,,
217#申报单位应在厦门市行政区域内依法设立,(申报)单位、(厦门市)行政区域、内,,
217#具有独立法人资格的企业,(具有独立法人资格的)企业,,
217#无不良信用记录,(不良)信用,,
217#并依法履行统计义务,(统计)义务,,
217#已纳入文化产业统计名录库的文化企业,(文化产业统计名录库的文化)企业、(文化)企业,,
217#项目补助,(项目)补助,,
217#原则上一家企业只能申报一个项目,(原则上一家)企业、(一个)项目,,一个项目
217#并对同一项目的扶持最长不超过三年(如贷款贴息、平台项目),(同一)项目、最长、(贷款)贴息、(平台)项目,,三年
217#不重复享受本政策及其他市级相关扶持政策,(本)政策、政策,,
217#有下列情形之一的,(下列)情形,,
217#专项资金不予资助：申报项目存在重大法律纠纷,专项资金、(申报)项目、(重大)法律纠纷,,
217#申报机构或个人因违法行为被执法部门依法处罚未满2年的,(申报)机构、个人、违法行为、(执法)部门、2年,,
217#同一项目已获得其他市直部门资金支持的,(同一)项目、(其他市直)部门、资金,,
217#其他违反专项资金使用规定的行为,(其他违反专项资金使用规定的)行为,,
218#申报条件,(申报)条件,,
218#注册地、税务登记地均在厦门行政辖区内,(注册地、税务登记)地、(登记)地、(厦门行政)辖区、内,,
218#具有独立法人资格,(独立)法人资格,,
218#财务管理制度健全,(财务管理)制度,,
218#无重大违规违法行为,(重大违规)违法行为,,
218#不存在严重失信情况,(严重失信)情况,,
218#按规定及时、准确向商务、统计等相关部门报送销售额等数据,(商务、统计等相关)部门、(相关)部门、(销售额等)数据,,
218#不得弄虚作假,,,
218#项目已获得或已申请其他市级及以上财政扶持资金的,项目、以上、财政、资金,,
218#不得重复申报,,,
218#申报单位及其法人代表、财务审计机构在信用厦门平台未列入失信联合惩戒范围,(申报)单位、财务、(审计)机构、(信用厦门)平台、(失信联合惩戒)范围,,
218#未出现涉黑涉恶问题,(涉黑涉恶)问题,,
218#其他(详见申报指南),(其他(详见申报)指南、(详见申报)指南,,
218#申报范围,(申报)范围,,
218#厦商务〔2019〕164号文项目(详见附件1),(厦)商务、项目、附件,,2019、164号、1
218#鼓励汽车、家电零售增长,汽车,,
218#鼓励汽车、家电零售企业开展汽车下乡、家电以旧换新等让利促销活动,(汽车、家电零售)企业、(零售)企业、汽车、(家电)以旧换新,,
218#申报条件：,(申报)条件,,
218#(1)开展汽车下乡、家电以旧换新等让利促销活动,汽车、(家电)以旧换新,,1
218#(2)年零售额超过1亿元,(年)零售额,,2、1亿元
218#同比增长1000万元以上,,,1000
218#奖励标准：年零售额每增长1000万元,(奖励)标准、(年)零售额,,1000万元
218#给予6万元奖励,,,6万元
218#申报材料：,申报材料,,
218#(1)法人营业执照和法人代表身份证或护照复印件,(1)法人)营业执照、(法人)营业执照、(法人代表)身份证、(护照)复印件,,1)法人营业执照
218#(2)奖励资金申请表(附件1-1),(资金)申请表、附件,,2、1-1
218#(3)承诺书,(3))承诺书,,3)承诺书
218#(4)2019年度“一套表”零售额增长统计证明材料(由区商务主管部门统一汇总并审核确认),(4)2019年度“一套表”零售额增长统计证明)材料、(2019年度“一套表”零售额增长统计证明)材料、(一套)表、(零售额增长统计证明)材料、(区)商务、主管部门,,4)2019年度“一套表”零售额增长统计证明材料、
218#(5)开展汽车下乡、家电以旧换新活动证明材料,汽车、以旧换新、材料,,5
218#鼓励行业协会组织商贸零售企业开展汽车、家电等消费品的促销活动,(行业)协会组织、企业、(汽车、家电等)消费品,,
218#申报条件：,(申报)条件,,
218#(1)行业协会应是本市非营利性社会团体法人,(行业)协会、(本市非营利性社会团体)法人,,1
218#(2)促销实施地在本市,地,,2
218#参加促销活动的本市限额以上汽车、家电批零企业达60%以上,(参加促销活动的本市限额以上汽车、家电批零)企业、(本市)限额、(批零)企业、(60%)以上,,
218#不得低于30家,不得,低于,30家
218#其中,,,
218#促销活动实施当月或次月零售额同比增长的本市限上批零企业数应达到50%以上,当月、(次)月、零售额、上、(批零)企业数、(50%)以上,,、50%以上
218#奖励标准：,(奖励)标准,,
218#促销活动实施当月或次月零售额同比增长的企业数达到50%的,当月、(次)月、零售额、(增长的)企业数,,、50%
218#予以20万元奖励,,,20万元
218#超过50%部分,,,50%部分、部分
218#每增加1家,,,1家
218#奖励1万元,,,1万元
218#每场最高给予50万元奖励,,,50万元
218#单个协会每年最多奖励2场,(单个)协会,,2场
218#申报材料：,申报材料,,
218#(1)法人营业执照和法人代表身份证或护照复印件,(1)法人)营业执照、(法人)营业执照、(法人代表)身份证、(护照)复印件,,1)法人营业执照
218#(2)奖励资金申请表(附件1-1),(资金)申请表、附件,,2、1-1
218#(3)承诺书,(3))承诺书,,3)承诺书
218#(4)主办方背景介绍、活动方案、活动总结报告(效果评估)、现场活动图片、相关宣传材料,(主办方)背景、(活动)方案、(活动)总结报告、效果、现场、图片、(相关)宣传材料,,4
218#(5)专项审计报告,(5)专项审计)报告、(专项审计)报告,,5)专项审计报告
218#含促销活动参加企业名单,企业名单,,
218#要求含企业名称、联系人、联系方式、活动期间销售金额以及活动实施当月零售额增长情况汇总表,企业名称、联系人、联系方式、(活动)期间、金额、(月)零售额、汇总表,,
218#鼓励连锁企业、购物中心实行统一结算,(连锁)企业、(购物)中心,,
218#鼓励有条件的连锁企业、购物中心实行统一结算,(有条件的连锁)企业、(连锁)企业、(购物)中心,,
218#申报条件：,(申报)条件,,
218#(1)连锁企业统一结算：包括经营销售商品的直营连锁企业及被授权经营的特许经营连锁企业,(连锁)企业、(经营销售商品的直营连锁)企业、(直营连锁)企业、(授权经营的特许经营连锁)企业、(特许经营连锁)企业,,1
218#实现零售额统一结算并纳入“一套表”统计,零售额、(一套)表,,一套表
218#购物中心统一结算：向消费者提供商业多业态综合性服务的购物中心,购物中心、消费者、(商业多)业态、综合性、(购物)中心,,多
218#实现零售额统一结算并纳入“一套表”统计,零售额、(一套)表,,一套表
218#(2)统一结算企业年零售额超过5000万元,(企业)年、零售额,,2、5000万元
218#奖励标准：统一结算企业零售额每增长2000万元奖励10万元,(奖励)标准、(结算)企业、零售额,,2000万元、10万元
218#申报材料：,申报材料,,
218#(1)法人营业执照和法人代表身份证或护照复印件,(1)法人)营业执照、(法人)营业执照、(法人代表)身份证、(护照)复印件,,1)法人营业执照
218#(2)奖励资金申请表(附件1-1),(资金)申请表、附件,,2、1-1
218#(3)承诺书,(3))承诺书,,3)承诺书
218#(4)2019年度“一套表”零售额增长统计证明材料(由区商务主管部门统一汇总并审核确认),(4)2019年度“一套表”零售额增长统计证明)材料、(2019年度“一套表”零售额增长统计证明)材料、(一套)表、(零售额增长统计证明)材料、(区)商务、主管部门,,4)2019年度“一套表”零售额增长统计证明材料、
218#(5)专项审计材料：体现统一结算模式前后经营主体纳统情况,(专项审计)材料、(统一结算)模式、主体、情况,,5
218#其中连锁企业应包括统一结算门店名单、单家门店年度零售额、股权关系说明及商业特许经营等相关证明材料,(其中连锁)企业、(结算)门店、名单、零售额、(股权)关系、(商业)特许经营、(相关证明)材料,,
218#购物中心应包括统一结算商户名单及单家商户年度零售额情况,(购物)中心、(商户)名单、情况,,
218#连锁企业新开业直营门店奖励,(连锁)企业、(开业直营)门店,,
218#申报条件：,(申报)条件,,
218#(1)连锁企业年零售额达1亿元以上,(连锁)企业、零售额、以上,,1、1亿元
218#增幅达15%以上,增幅、(15%)以上,,15%以上
218#同时年新增5家以上直营店(新增直营店数量应为净增加值,直营店、(直营店)数量、(净)增加值,,5家
218#即新增数量扣除关闭数量),(新增)数量、数量,,
218#(2)新增直营门店应在我市成立,(新增直营)门店,,2
218#时间在2019年1月1日至2019年12月31日之间(以营业执照时间为准),时间、2019年1月1日、(至2019年12月31日)之间、(营业执照)时间,,
218#门店应正式营业,门店,,
218#单店当年年零售额不低于300万元,单店、(年年)零售额,不低于,300万元
218#奖励标准：,(奖励)标准,,
218#每新增直营门店数量1家,(直营)门店、数量,,1家
218#奖励5万元,,,5万元
218#单店年零售额达3000万元以上的,(单店)年、零售额,,3000万元以上
218#奖励20万元,,,20万元
218#申报材料：,申报材料,,
218#(1)法人营业执照和法人代表身份证或护照复印件,(1)法人)营业执照、(法人)营业执照、(法人代表)身份证、(护照)复印件,,1)法人营业执照
218#(2)奖励资金申请表(附件1-1),(资金)申请表、附件,,2、1-1
218#(3)承诺书,(3))承诺书,,3)承诺书
218#(4)专项审计材料,(4)专项审计)材料、(专项审计)材料,,4)专项审计材料
218#包括直营门店名单、单家门店年度零售额、股权关系说明及相关证明材料,(直营)门店、名单、零售额、(股权)关系、(相关证明)材料,,
218#加强重点商贸零售企业招商,(重点商贸零售)企业,,
218#优化组织结构,(组织)结构,,
218#支持非法人单位设立统一结算的法人单位,(非法人)单位、(结算的法人)单位、(法人)单位,,
218#申报条件：,(申报)条件,,
218#(1)非法人企业新设法人单位要求：在本市注册的具有独立法人资格的批发零售业企业,(非法人)企业、单位、(注册的具有独立法人资格的批发零售业)企业、(具有独立法人资格的批发零售业)企业、(批发)零售业、企业,,1
218#注册时间在2019年1月1日-12月31日之间,(注册)时间、2019年1月1日、(12月31日)之间,,
218#2019年度零售额纳入“一套表”统计,(2019)年度、零售额、(一套)表,,2019年度、一套表
218#(2)新设企业年零售额首次达5000万元以上,(新设)企业、年,,2、零售额、5000
218#奖励标准：新设企业零售额超过5000万元部分,(奖励)标准、(新设)企业、零售额,,5000万元、部分
218#每增长2000万元奖励10万元,,,2000万元、10万元
218#申报材料：,申报材料,,
218#(1)法人营业执照和法人代表身份证或护照复印件,(1)法人)营业执照、(法人)营业执照、(法人代表)身份证、(护照)复印件,,1)法人营业执照
218#(2)奖励资金申请表(附件1-1),(资金)申请表、附件,,2、1-1
218#(3)承诺书,(3))承诺书,,3)承诺书
218#(4)2019年度“一套表”零售额增长统计证明材料(由区商务主管部门统一汇总并审核确认),(4)2019年度“一套表”零售额增长统计证明)材料、(2019年度“一套表”零售额增长统计证明)材料、(一套)表、(零售额增长统计证明)材料、(区)商务、主管部门,,4)2019年度“一套表”零售额增长统计证明材料、
218#(5)专项审计材料：要求体现法人设立前后经营主体情况,(专项审计)材料、法人、(前后经营主体)情况,,5
218#股权关系说明及相关证明材料,(股权)关系、(相关证明)材料,,
218#变更前后零售额纳统情况等,(变更)前后、情况,,
218#鼓励大型生产企业、平台服务企业优化组织结构,(大型生产)企业、平台、企业、(组织)结构,,
218#成立销售公司或供应链公司进行专业采购销售,销售公司、(供应链)公司、专业,,
218#申报条件：,(申报)条件,,
218#(1)设立的销售公司、供应链公司要求：在本市注册的具有独立法人资格的批发零售业企业,(设立的)销售公司、(供应链)公司、(注册的具有独立法人资格的批发零售业)企业、(具有独立法人资格的批发零售业)企业、(批发)零售业、企业,,1
